Date/Time,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm,RPM,Debug
09/14/2022 8:07:24,2080,0,704,946769,1680562,400.51,1.312,4185,4167,4171,18,0,86.6,30.3,90.8,32.7,none,none,91.8,33.2,4168,4169,4169,4168,4167,4169,4167,4168,4168,4168,4170,4169,4175,4180,4177,4183,4182,4185,4170,4173,4173,4173,4168,4170,4172,4176,4170,4173,4174,4174,4171,4169,4169,4169,4168,4167,4169,4169,4171,4168,4168,4169,4169,4171,4171,4173,4173,4173,4172,4173,4173,4174,4173,4174,4173,4172,4174,4177,4176,4175,4174,4172,4172,4172,4172,4174,4168,4168,4169,4169,4170,4168,4171,4168,4172,4173,4174,4174,4177,4177,4178,4177,4174,4173,4174,4170,4172,4174,4174,4170,4171,4170,4172,4173,4172,4170,na,101.3,14.4,17339,42,182,39,38.5,39.5,39.75,63.5,95.27,-1155,54,1663164444.518,0,2,0,0,0,0,0,0,0,1,400.51,400.51,0B047F,1,1,1,80,63,40,40,0,0,0,0,0,3
09/14/2022 8:12:25,2083,0,695,935352,1680562,394.78,62.011,4122,4106,4111,16,0,87,30.6,91.2,32.9,none,none,92,33.3,4114,4109,4110,4109,4109,4109,4108,4108,4107,4107,4111,4108,4114,4118,4114,4120,4118,4122,4112,4114,4113,4113,4108,4109,4111,4114,4108,4111,4111,4111,4112,4108,4109,4108,4107,4107,4106,4107,4107,4110,4108,4109,4111,4112,4113,4113,4113,4112,4113,4114,4114,4116,4114,4115,4115,4113,4113,4118,4116,4115,4114,4112,4110,4112,4111,4112,4106,4108,4109,4107,4112,4108,4111,4107,4114,4114,4115,4114,4117,4117,4116,4117,4115,4113,4114,4111,4112,4112,4114,4112,4113,4112,4113,4114,4114,4111,-0.18,101.33,12.96,17341,42,182,35.25,35,35.75,35.75,59.9,95.27,-28,56,1663164745.97,13120,2,0,0,0,0,0,0,0,4,394.78,394.78,18037F,1,1,1,80,72,40,40,0,0,0,1.55,7616,3
09/14/2022 8:17:28,2083,0,673,905972,1680562,387.02,110.74,4040,4018,4031,22,0,87.8,31,92,33.3,none,none,92.4,33.6,4036,4031,4033,4030,4030,4032,4028,4025,4027,4027,4029,4028,4034,4036,4025,4039,4036,4040,4031,4034,4033,4034,4029,4029,4030,4032,4021,4028,4028,4030,4028,4027,4029,4028,4026,4027,4025,4025,4024,4026,4029,4029,4033,4033,4034,4034,4034,4031,4033,4035,4035,4037,4036,4038,4035,4034,4033,4035,4037,4036,4033,4032,4031,4032,4030,4033,4018,4027,4028,4026,4032,4030,4031,4026,4031,4034,4036,4036,4033,4036,4035,4036,4034,4035,4034,4031,4032,4033,4031,4032,4035,4034,4035,4035,4035,4032,-0.23,101.31,13.04,17347,42,182,36.75,36.5,37.25,37.25,56.3,95.27,-28,57,1663165048.637,25240,2,0,0,0,0,0,0,0,4,387.02,387.02,18037F,1,1,1,80,81,40,40,0,0,0,3.03,7622,3
09/14/2022 8:22:32,2083,0,650,875276,1680562,390.31,-22.582,4077,4059,4065,18,0,88.6,31.4,92.4,33.6,none,none,93,33.9,4059,4063,4063,4064,4062,4064,4062,4061,4062,4062,4064,4063,4068,4073,4069,4075,4075,4077,4064,4068,4067,4067,4063,4064,4066,4068,4061,4065,4066,4068,4060,4062,4062,4063,4062,4061,4063,4061,4063,4061,4064,4064,4065,4065,4066,4068,4068,4067,4067,4066,4068,4070,4067,4070,4068,4066,4066,4069,4071,4070,4069,4066,4066,4066,4067,4069,4061,4062,4064,4062,4063,4063,4064,4062,4066,4068,4068,4069,4068,4070,4071,4071,4066,4069,4069,4065,4066,4068,4067,4063,4067,4065,4067,4067,4067,4065,-0.22,101.3,13.04,17352,42,182,37.25,37,38.25,37.5,59.9,95.27,-114,59,1663165352.292,0,2,0,0,0,0,0,0,0,4,390.31,390.31,18037F,1,1,1,80,85,40,40,0,0,0,-1.03,7612,3
09/14/2022 8:27:34,2083,0,632,850831,1680562,388.33,-26.214,4057,4038,4044,19,0,89.2,31.8,93.4,34.1,none,none,93.6,34.2,4038,4042,4043,4041,4042,4042,4041,4041,4042,4042,4044,4042,4048,4051,4047,4056,4054,4057,4042,4047,4046,4046,4041,4044,4044,4048,4040,4045,4043,4047,4039,4042,4043,4043,4042,4040,4043,4042,4043,4040,4042,4043,4042,4045,4045,4046,4047,4046,4044,4047,4046,4048,4047,4048,4046,4046,4047,4048,4051,4048,4047,4045,4045,4045,4045,4048,4041,4042,4042,4042,4042,4042,4044,4040,4044,4048,4048,4048,4048,4050,4051,4050,4046,4047,4048,4044,4046,4046,4046,4043,4045,4044,4045,4046,4047,4044,-0.25,101.26,13.04,17358,42,182,37.5,37,38.25,37.5,59.9,95.27,-374,60,1663165654.859,0,2,0,0,0,0,0,0,0,4,388.33,388.33,18037F,1,1,1,80,88,40,40,0,0,0,-1.17,7618,3
09/14/2022 8:32:35,2083,0,617,831009,1680562,379.2,85.365,3956,3942,3948,14,0,88.8,31.6,92.8,33.8,none,none,93.6,34.2,3955,3947,3949,3949,3947,3945,3944,3945,3944,3943,3946,3944,3950,3954,3955,3955,3954,3955,3953,3950,3950,3950,3946,3946,3949,3950,3947,3947,3944,3943,3953,3945,3945,3945,3944,3944,3943,3942,3942,3950,3946,3946,3950,3951,3951,3950,3950,3948,3952,3951,3953,3953,3952,3952,3952,3951,3949,3953,3953,3951,3952,3950,3950,3950,3949,3945,3945,3943,3944,3942,3950,3945,3947,3945,3953,3952,3953,3948,3956,3953,3953,3951,3951,3950,3951,3948,3950,3950,3948,3950,3952,3951,3951,3951,3950,3947,-0.27,101.26,12.96,17364,42,182,37.5,37,38.25,38.25,60.8,95.27,-551,62,1663165955.076,18240,2,0,0,0,0,0,0,0,4,379.2,379.2,18037F,1,1,1,80,87,40,40,0,0,0,2.42,7608,3
09/14/2022 8:37:37,2083,0,591,795954,1680562,375.79,89.683,3919,3903,3912,16,0,89.6,32,93.8,34.3,none,none,94.2,34.6,3919,3912,3914,3912,3911,3910,3908,3909,3908,3908,3910,3909,3915,3917,3915,3919,3918,3919,3917,3916,3916,3914,3911,3911,3913,3915,3909,3909,3908,3906,3917,3909,3910,3908,3908,3908,3907,3906,3903,3912,3910,3909,3914,3914,3915,3915,3914,3911,3918,3915,3916,3918,3918,3917,3918,3915,3914,3918,3918,3916,3916,3913,3914,3914,3913,3909,3908,3908,3909,3907,3913,3909,3911,3908,3917,3916,3918,3912,3919,3916,3917,3915,3915,3914,3914,3913,3913,3913,3912,3913,3915,3915,3916,3915,3914,3911,-0.27,101.28,12.96,17370,42,182,37.5,37,38.25,38.25,60.8,95.27,-551,64,1663166257.862,19080,2,0,0,0,0,0,0,0,4,375.79,375.79,18037F,1,1,1,80,89,40,40,0,0,0,2.59,7606,3
09/14/2022 8:42:39,2083,0,567,762605,1680562,369.07,162.046,3855,3833,3843,22,0,89.8,32.1,94.2,34.6,none,none,94.8,34.9,3855,3842,3845,3844,3843,3839,3838,3841,3836,3837,3839,3837,3844,3846,3850,3849,3845,3846,3853,3846,3845,3845,3842,3840,3844,3845,3843,3838,3837,3834,3852,3837,3839,3837,3837,3838,3837,3836,3833,3845,3841,3839,3845,3845,3845,3845,3843,3841,3849,3845,3846,3848,3849,3846,3847,3845,3843,3849,3845,3846,3847,3845,3846,3843,3843,3837,3839,3839,3839,3838,3846,3839,3841,3839,3851,3846,3848,3840,3852,3845,3847,3844,3849,3843,3846,3844,3845,3842,3842,3846,3846,3846,3846,3845,3845,3841,-0.28,101.28,13.04,17375,42,182,37.5,37,38.25,38.25,59,95.27,-553,65,1663166559.236,32320,2,0,0,0,0,0,0,0,4,369.07,369.07,18037F,1,1,1,80,89,40,40,0,0,0,3.69,7230,3
09/14/2022 8:47:45,2083,0,551,741991,1680562,374.7,0.152,3911,3894,3902,17,0,90,32.2,94.2,34.6,none,none,95.4,35.2,3899,3899,3902,3902,3899,3901,3897,3896,3898,3898,3900,3899,3905,3907,3905,3911,3909,3910,3904,3905,3904,3904,3899,3901,3903,3903,3897,3898,3897,3897,3899,3898,3900,3897,3898,3899,3895,3897,3894,3900,3899,3899,3904,3904,3904,3905,3904,3903,3904,3905,3906,3906,3906,3906,3906,3905,3904,3906,3907,3907,3906,3905,3905,3904,3902,3903,3897,3899,3899,3898,3900,3900,3900,3898,3904,3905,3906,3902,3906,3905,3906,3906,3903,3904,3905,3904,3904,3903,3902,3901,3905,3904,3907,3904,3903,3902,-6.34,101.29,12.56,17379,42,182,38.25,37.5,38.5,38.25,58.1,95.27,-726,67,1663166865.714,0,0,0,0,0,0,0,0,0,1,374.7,374.7,180377,0,1,1,0,88,40,40,0,0,0,0,0,3
09/14/2022 8:52:50,2083,0,551,741964,1680562,375.79,-0.197,3928,3906,3914,22,0,89.4,31.9,93.6,34.2,none,none,95.4,35.2,3907,-3916,3909,-3917,3907,-3916,3908,-3915,3907,-3915,3909,-3915,3913,-3926,3914,-3927,3919,-3928,3910,-3920,3912,-3920,3906,-3916,3911,-3922,3907,-3919,3910,-3918,3910,-3915,3908,-3913,3907,-3914,3908,-3914,3907,-3916,3908,-3915,3910,-3918,3912,-3920,3913,-3917,3913,-3918,3914,-3920,3913,-3919,3915,-3919,3915,-3921,3916,-3920,3915,-3919,3911,-3920,3913,-3918,3909,-3913,3909,-3915,3910,-3913,3910,-3917,3910,-3923,3912,-3923,3914,-3924,3914,-3925,3910,-3921,3912,-3918,3911,-3921,3911,-3917,3911,-3918,3911,-3920,3911,-3916,-10.62,101.29,12.08,17379,42,182,38.25,37.5,38.5,38.25,59.9,95.27,-726,68,1663167170.188,0,0,0,0,0,0,0,0,0,1,375.79,375.79,18037F,1,1,1,80,75,40,40,0,0,0,0,0,3
