Date/Time,Elv,Speed,Gids,SOC,AHr,Pack Volts,Pack Amps,Max CP mV,Min CP mV,Avg CP mV,CP mV Diff,Judgment Value,Pack T1 F,Pack T1 C,Pack T2 F,Pack T2 C,Pack T3 F,Pack T3 C,Pack T4 F,Pack T4 C,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10,CP11,CP12,CP13,CP14,CP15,CP16,CP17,CP18,CP19,CP20,CP21,CP22,CP23,CP24,CP25,CP26,CP27,CP28,CP29,CP30,CP31,CP32,CP33,CP34,CP35,CP36,CP37,CP38,CP39,CP40,CP41,CP42,CP43,CP44,CP45,CP46,CP47,CP48,CP49,CP50,CP51,CP52,CP53,CP54,CP55,CP56,CP57,CP58,CP59,CP60,CP61,CP62,CP63,CP64,CP65,CP66,CP67,CP68,CP69,CP70,CP71,CP72,CP73,CP74,CP75,CP76,CP77,CP78,CP79,CP80,CP81,CP82,CP83,CP84,CP85,CP86,CP87,CP88,CP89,CP90,CP91,CP92,CP93,CP94,CP95,CP96,12v Bat Amps,Hx,12v Bat Volts,Odo(km),QC,L1/L2,TP-FL,TP-FR,TP-RR,TP-RL,Ambient,SOH,RegenWh,BLevel,epoch time,Motor Pwr(w),Aux Pwr(100w),A/C Pwr(250w),A/C Comp(0.1MPa),Est Pwr A/C(50w),Est Pwr Htr(250w),Plug State,Charge Mode,OBC Out Pwr,Gear,HVolt1,HVolt2,GPS Status,Power SW,BMS,OBC,Debug,Motor Temp,Inverter 2 Temp,Inverter 4 Temp, Speed1, Speed2,Wiper Status,Torque Nm,RPM,Debug
06/11/2022 8:50:33,4717,0,691,922971,1692734,395.61,2.212,4136,4110,4121,26,0,99.4,37.4,104.7,40.4,none,none,105.6,40.9,-4119,4112,-4121,4111,-4120,4113,4120,4113,-4123,4114,-4121,4113,-4129,4123,-4132,4127,-4136,4129,4124,4119,-4128,4117,-4119,4115,-4124,4118,-4124,4119,4127,4121,-4122,4115,-4121,4116,-4119,4111,-4122,4113,-4125,4111,-4120,4113,-4122,4115,-4123,4116,4125,4118,-4123,4119,-4125,4121,-4125,4122,-4125,4119,4124,4123,-4128,4123,-4127,4117,-4124,4118,-4125,4119,-4123,4114,-4121,4115,-4124,4116,-4125,4110,4129,4117,-4131,4119,-4132,4121,-4133,4121,-4129,4118,4128,4115,-4127,4118,-4129,4115,-4126,4117,-4126,4119,-4128,4116,na,106.32,13.04,11828,24,104,41.5,40.5,41.5,41.5,76.1,95.96,0,84,1654959033.751,0,3,1,0,7,0,0,0,0,3,395.61,395.61,07057F,1,1,1,80,81,40,40,0,0,0,0,57,0
06/11/2022 8:55:35,4714,0,688,918686,1692734,395.12,2.212,4131,4104,4115,27,0,99.2,37.3,104.2,40.1,none,none,105.6,40.9,-4115,4106,-4116,4106,-4116,4106,-4115,4108,4119,4109,-4117,4108,-4124,4117,-4127,4121,-4131,4123,-4120,4111,-4123,4110,-4115,4109,-4120,4112,4120,4111,-4123,4114,-4116,4108,-4117,4110,-4114,4106,4117,4107,-4122,4106,-4116,4107,-4118,4108,-4119,4109,-4121,4111,-4118,4113,-4121,4115,-4122,4114,4121,4113,-4121,4116,-4125,4117,-4122,4113,-4120,4112,4121,4113,-4118,4108,-4117,4108,-4119,4110,-4122,4104,-4124,4110,-4128,4111,-4129,4114,-4130,4114,4125,4113,-4124,4108,-4123,4110,-4125,4108,-4122,4109,-4122,4111,-4124,4108,-0.42,106.33,13.04,11829,24,104,40.75,39.5,40.75,40.75,66.2,95.96,-160,86,1654959335.02,0,2,1,0,7,0,0,0,0,4,395.12,395.12,14057F,1,1,1,80,84,40,40,0,0,0,0,0,3
06/11/2022 9:00:36,4714,0,686,915977,1692734,393.63,42.83,4112,4084,4098,28,0,99.2,37.3,104.4,40.2,none,none,105.6,40.9,4101,4089,-4098,4088,-4098,4089,-4097,4090,-4099,4090,-4098,4090,-4105,4098,-4109,4102,-4112,4104,4103,4094,-4104,4092,-4098,4091,-4103,4092,-4102,4093,4104,4096,-4101,4090,-4099,4093,-4096,4088,-4099,4088,-4101,4089,4099,4089,-4101,4091,-4103,4093,-4103,4093,-4101,4095,-4104,4097,-4104,4097,-4104,4096,-4102,4100,4106,4099,-4105,4095,-4102,4095,-4103,4095,-4098,4091,4099,4091,-4103,4092,-4104,4084,-4107,4093,-4110,4093,-4112,4097,-4111,4096,-4109,4094,-4107,4090,4104,4094,-4106,4091,-4105,4092,-4105,4094,-4106,4091,-0.45,106.32,13.04,11831,24,104,41,40,41,41,70.7,95.96,-423,87,1654959636.141,7640,2,1,0,7,0,0,0,0,4,393.63,393.63,14057F,1,1,1,80,83,40,40,0,0,0,5,1844,3
06/11/2022 9:05:39,4714,0,671,896535,1692734,390.45,43.318,4081,4054,4067,27,0,99.4,37.4,104.2,40.1,none,none,105.3,40.8,-4070,4057,-4069,4057,-4068,4057,-4066,4059,-4069,4059,4068,4059,-4074,4065,-4078,4071,-4081,4071,-4072,4063,4074,4061,-4067,4059,-4072,4062,-4073,4062,-4073,4064,-4070,4060,-4068,4062,-4065,4057,-4069,4058,4072,4059,-4068,4059,-4070,4062,-4072,4063,-4072,4061,4070,4065,-4074,4067,-4072,4066,-4073,4065,-4070,4070,-4075,4068,-4074,4064,-4072,4063,-4072,4064,4068,4060,-4068,4059,-4072,4062,-4073,4054,-4077,4063,4079,4062,-4081,4064,-4080,4064,-4078,4063,-4075,4059,-4073,4061,4074,4060,-4074,4061,-4073,4063,-4074,4061,-0.39,106.31,13.04,11836,24,104,41.75,40.75,41.5,41.5,76.1,95.96,-460,88,1654959939.429,9880,3,2,0,9,0,0,0,0,4,390.45,390.45,14057F,1,1,1,80,87,40,40,0,0,0,1.16,7215,3
06/11/2022 9:10:40,4714,0,657,877273,1692734,387.7,50.276,4054,4028,4039,26,0,99.4,37.4,104.4,40.2,none,none,105.3,40.8,-4042,4031,4041,4029,-4040,4030,-4038,4031,-4041,4031,-4039,4030,4047,4038,-4051,4043,-4053,4044,-4046,4036,-4045,4036,-4039,4033,4044,4035,-4044,4035,-4044,4036,-4043,4032,-4040,4034,-4038,4030,-4040,4030,-4043,4031,-4040,4032,4041,4034,-4044,4035,-4045,4035,-4043,4039,-4046,4040,4045,4039,-4046,4038,-4044,4041,-4048,4041,-4047,4037,-4044,4036,-4044,4035,-4041,4031,-4039,4032,4045,4034,-4045,4028,-4049,4035,-4052,4034,-4054,4038,4053,4038,-4049,4037,-4047,4032,-4046,4033,-4047,4033,-4047,4034,-4046,4035,-4046,4032,-0.53,106.29,12.96,11841,24,104,42.25,41.5,42,42,77,95.96,-514,89,1654960240.311,10800,2,1,0,7,0,0,0,0,4,387.7,387.7,14057F,1,1,1,80,90,40,40,0,0,0,1.33,5766,3
06/11/2022 9:15:40,4714,0,644,860898,1692734,386.58,19.332,4042,4016,4027,26,0,99.6,37.6,104.7,40.4,none,none,105.6,40.9,4028,-4019,4029,-4018,-4029,4020,4027,-4019,-4031,4019,-4029,4019,-4035,4027,-4039,4031,-4042,4032,4033,4025,-4034,4022,-4027,4020,-4032,4024,-4031,4022,4033,4024,-4029,4020,-4028,4022,-4027,4018,-4029,4018,-4031,4020,-4029,4020,-4031,4022,-4033,4023,4033,4023,-4030,4027,-4034,4028,-4033,4029,-4035,4026,4032,4029,-4035,4028,-4035,4025,-4032,4025,-4033,4025,-4030,4020,-4028,4020,-4033,4022,-4034,4016,4038,4023,-4040,4023,-4042,4026,-4040,4025,-4036,4023,4036,4022,-4034,4022,-4034,4021,-4035,4022,4036,-4024,-4036,4020,-0.41,106.27,13.04,11845,24,104,42.25,41.5,42,42.5,77,95.96,-672,90,1654960540.844,3680,3,2,0,9,0,0,0,0,4,386.58,386.58,14057F,1,1,1,80,90,40,40,0,0,0,0.42,5632,3
06/11/2022 9:20:41,4714,0,632,843835,1692734,382.98,66.329,4003,3978,3989,25,0,99.6,37.6,104.7,40.4,none,none,105.6,40.9,3987,-3992,3981,-3991,3981,-3990,3978,-3992,3981,-3989,3980,-3990,3985,-3999,3987,-4003,3990,-4003,3986,-3996,3985,-3994,3979,-3991,3984,-3997,3980,-3996,3983,-3992,3985,-3990,3984,-3992,3981,-3987,3981,-3989,3982,-3991,3981,-3991,3984,-3994,3985,-3995,3985,-3991,3990,-3996,3990,-3997,3989,-3996,3988,-3994,3987,-3999,3992,-3996,3990,-3996,3987,-3996,3986,-3993,3981,-3990,3982,-3989,3987,-3991,3986,-3990,3985,-4001,3985,-4000,3986,-4002,3985,-4002,3985,-3997,3985,-3995,3983,-3996,3984,-3995,3984,-3996,3985,-3997,3984,-3991,-0.41,106.24,13.04,11849,24,104,41.75,40.75,42,42,72.5,95.96,-750,91,1654960841.443,13000,3,1,0,6,0,0,0,0,4,382.98,382.98,14057F,1,1,1,80,89,40,40,0,0,0,2.22,6084,3
06/11/2022 9:25:43,4714,0,616,822530,1692734,380.8,49.208,3982,3956,3966,26,0,99.6,37.6,104.9,40.5,none,none,105.6,40.9,3963,-3968,3957,-3968,3958,-3967,3956,-3966,3958,-3967,3956,-3966,3964,-3976,3965,-3980,3968,-3982,3961,-3974,3963,-3971,3956,-3967,3961,-3974,3957,-3973,3961,-3970,3960,-3967,3960,-3968,3957,-3964,3958,-3967,3958,-3969,3958,-3969,3962,-3972,3963,-3973,3962,-3969,3967,-3973,3967,-3974,3967,-3974,3967,-3972,3965,-3974,3969,-3974,3967,-3972,3963,-3972,3963,-3970,3958,-3966,3959,-3967,3964,-3969,3963,-3968,3962,-3978,3963,-3977,3963,-3978,3963,-3979,3961,-3974,3962,-3972,3961,-3974,3960,-3972,3961,-3972,3962,-3974,3961,-3969,-0.27,106.21,14.24,11853,24,104,41.75,40.75,42,42,70.7,95.96,-750,92,1654961143.922,9680,2,1,0,7,0,0,0,0,4,380.8,380.8,14057F,1,1,1,80,88,40,40,0,0,0,2.34,4212,3
06/11/2022 9:30:45,4714,0,605,808701,1692734,381.46,19.057,3988,3962,3973,26,0,99.6,37.6,104.9,40.5,none,none,105.8,41,3973,-3964,3975,-3965,3974,-3966,3974,-3966,3976,-3966,3974,-3966,3981,-3973,3984,-3977,3988,-3979,3978,-3970,3980,-3969,3973,-3967,3979,-3970,3979,-3969,3980,-3971,3976,-3968,3974,-3968,3973,-3964,3975,-3965,3976,-3965,3974,-3967,3976,-3969,3979,-3970,3980,-3969,3977,-3973,3981,-3974,3980,-3974,3979,-3971,3979,-3975,3981,-3975,3981,-3970,3979,-3970,3979,-3970,3976,-3967,-3974,3966,-3978,3968,-3979,3962,-3983,3968,3985,3970,-3986,3972,3987,-3971,3984,-3970,3981,-3967,3981,-3969,3981,-3968,3981,-3968,3980,-3970,3982,-3967,-0.55,106.2,12.96,11857,24,104,41.75,40.75,42,42,71.6,95.96,-841,94,1654961445.871,4480,3,1,0,7,0,0,0,0,4,381.46,381.46,14057F,1,1,1,80,87,40,40,0,0,0,0.53,5734,3
06/11/2022 9:35:45,4714,0,590,788233,1692734,377.27,26.747,3946,3923,3933,23,0,99.6,37.6,104.9,40.5,none,none,105.8,41,3928,-3935,3925,-3934,3926,-3933,3923,-3933,3925,-3933,3925,-3932,3930,-3941,3933,-3945,3936,-3946,3929,-3939,3930,-3938,3924,-3934,3928,-3938,3925,-3937,3929,-3935,3929,-3933,3928,-3934,3925,-3931,3925,-3932,3926,-3933,3926,-3934,3929,-3937,3930,-3938,3929,-3935,3933,-3938,3933,-3940,3934,-3940,3933,-3937,3931,-3940,3935,-3940,3934,-3939,3931,-3939,3931,-3936,3927,-3932,3927,-3933,3930,-3933,3930,-3933,3929,-3943,3931,-3941,3931,-3943,3931,-3943,3928,-3940,3929,-3937,3928,-3938,3926,-3937,3931,-3939,3930,-3940,3929,-3934,-0.39,106.18,13.04,11861,24,104,41.75,40.75,42,42,73.4,95.96,-860,96,1654961745.92,7280,3,2,0,7,0,0,0,0,4,377.27,377.27,14057F,1,1,1,80,88,40,40,0,0,0,-0.08,5339,3
